MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMC3IP
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMC4
0.344288370679034	0.252	NA	NA	NA	NA	0	0.977011494252874	NA	PSMC5
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMC6
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMD11
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMD12
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMD13
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMD14
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMD2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMD3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMD4
0.17789536321613	0.046	NA	NA	NA	NA	0	0.448275862068966	NA	PSMD5
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMD6
0.063932014522001	0.406	NA	NA	NA	NA	0	0.977011494252874	NA	PSMD7
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMD8
0.103249017843047	0.205	NA	NA	NA	NA	0	0.35632183908046	NA	PSMD9
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSME1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSME2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSME3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSME4
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMF1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMG1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMG2
0.0973857445465291	0.215	NA	NA	NA	NA	0	0.160919540229885	NA	PSMG3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSMG4
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSORS1C1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSORS1C2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSORS1C3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSPC1
