HGNC ID	Approved symbol	Alias symbol	Previous symbol	NCBI gene ID
HGNC:28964	DANCR	lncRNA-ANCR	SNHG13	57291
HGNC:50863	DANT1			106029310
HGNC:50862	DANT2			642776
HGNC:30243	DAOA-AS1	G30	DAOAAS	282706
HGNC:30243	DAOA-AS1	G30	DAOA-AS	282706
HGNC:43591	DAPK1-IT1			100506897
HGNC:40170	DARS-AS1			101928243
HGNC:43904	DBET	DBE-T		100419743
HGNC:43904	DBET	DUX4L30		100419743
HGNC:24155	DBH-AS1	BPR	NCRNA00118	138948
HGNC:41147	DCST1-AS1	RP11-307C12.11		100505666
HGNC:44151	DCTN1-AS1			100189589
HGNC:39889	DCUN1D2-AS		DCUN1D2-AS2	100874229
HGNC:54083	DCXR-DT	RP13-650J16.1		113523640
HGNC:40171	DDC-AS1			100129427
HGNC:52379	DDIT4-AS1	RP11-442H21.2		110806271
HGNC:53464	DDN-AS1	CAT1507		105369758
HGNC:28694	DDR1-DT	bPG70P20.2	TIGD1L	414771
HGNC:28694	DDR1-DT	bPG70P20.2	DDR1-AS1	414771
HGNC:28694	DDR1-DT	bCX111D4.7	TIGD1L	414771
HGNC:28694	DDR1-DT	bCX111D4.7	DDR1-AS1	414771
HGNC:28694	DDR1-DT	bQB10J12.1	TIGD1L	414771
HGNC:28694	DDR1-DT	bQB10J12.1	DDR1-AS1	414771
HGNC:44176	DDX11-AS1	CONCR		100506660
HGNC:44176	DDX11-AS1	SCAT4		100506660
HGNC:39771	DDX39B-AS1			106478957
HGNC:41094	DDX59-AS1			101929224
HGNC:23658	DEC1	CTS9		50514
HGNC:42517	DENND5B-AS1			100874249
HGNC:41152	DENND6A-AS1			106144528
HGNC:51592	DENND6A-DT			101929159
HGNC:50592	DEPDC1-AS1			101927220
HGNC:16757	DGCR5	NCRNA00037		26220
HGNC:16757	DGCR5	LINC00037		26220
HGNC:17227	DGCR9	DGS-A		25787
HGNC:17227	DGCR9	POM121L5P		25787
HGNC:17864	DGCR10	DGS-B		26222
HGNC:17226	DGCR11	DGS-D		25786
HGNC:17225	DGCR12	DGS-E		25784
HGNC:43441	DGUOK-AS1			100874048
HGNC:53969	DHCR24-DT			107984958
HGNC:23175	DHRS4-AS1	PRO1488	C14orf167	55449
HGNC:23175	DHRS4-AS1	AS1DHRS4	C14orf167	55449
HGNC:38713	DHRSX-IT1	DHRSX-IT	DHRSXIT1	106478924
HGNC:52937	DHX33-DT			105371506
HGNC:16972	DIAPH2-AS1			10824
HGNC:39915	DIAPH3-AS1			100874195
HGNC:39916	DIAPH3-AS2			100874196
HGNC:43017	DICER1-AS1	FLJ45244	DICER1-AS	400242
HGNC:53146	DINOL	DINO		108783646
HGNC:44153	DIO2-AS1			100628307
HGNC:20348	DIO3OS	NCRNA00041	C14orf134	64150
HGNC:20348	DIO3OS	DIO3-AS1	C14orf134	64150
HGNC:41430	DIP2A-IT1			100862692
HGNC:17805	DIRC3	FLJ14199		729582
HGNC:50636	DIRC3-AS1			105373877
HGNC:41325	DISC1-IT1			104472714
HGNC:33625	DISC1FP1	Boymaw		101929222
HGNC:2889	DISC2	DISC1-AS1		27184
HGNC:2889	DISC2	DISC1OS		27184
HGNC:2889	DISC2	NCRNA00015		27184
HGNC:13747	DLEU1	LEU1	DLB1	10301
HGNC:13747	DLEU1	LEU1	BCMS	10301
HGNC:13747	DLEU1	XTP6	DLB1	10301
HGNC:13747	DLEU1	XTP6	BCMS	10301
HGNC:13747	DLEU1	NCRNA00021	DLB1	10301
