MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCN1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCN10
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCN12
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCN15
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCN2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCN6
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCN8
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCNL1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCOR
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCORL
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCP2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCT
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCTL
0.0935595092851021	0.196	NA	NA	NA	NA	0	0.870056497175141	NA	LDB1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LDB2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LDB3
1.21086177261183	0	NA	NA	NA	NA	0	0.983050847457627	NA	LDHA
NA	NA	NA	NA	NA	NA	NA	NA	NA	LDHAL6A
NA	NA	NA	NA	NA	NA	NA	NA	NA	LDHAL6B
0.562967259221121	0	NA	NA	NA	NA	0	0.570621468926554	NA	LDHB
1.95903832864845	0	NA	NA	NA	NA	0	0.0112994350282486	NA	LDHC
NA	NA	NA	NA	NA	NA	NA	NA	NA	LDHD
NA	NA	NA	NA	NA	NA	NA	NA	NA	LDLR
NA	NA	NA	NA	NA	NA	NA	NA	NA	LDLRAD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LDLRAD2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LDLRAD3
NA	NA	NA	NA	NA	NA	NA	NA	NA	LDLRAP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LDOC1L
NA	NA	NA	NA	NA	NA	NA	NA	NA	LEAP2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LECT1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LECT2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LEF1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LEFTY1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LEFTY2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LEKR1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LEMD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LEMD2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LEMD3
